Iteration,LogLikelihood
0,-13181.94469115262
1,-5575.652502057041
2,-5144.189936636131
3,-4971.609923987338
4,-4902.09650317729
5,-4836.515542009941
6,-4858.1942144090235
7,-4863.89130959748
8,-4854.933701595882
9,-4862.303140097102
10,-4850.236552250997
11,-4907.343489505663
12,-4962.619986957974
13,-4888.725116309097
14,-4982.537066811819
15,-4844.375801229675
16,-4956.9860788769965
17,-4871.9461959627915
18,-4956.5877475070465
19,-4932.543314242176
20,-4972.769199998732
21,-4878.6164376527495
22,-4963.165385117357
23,-5004.655422822911
24,-4916.5551593637165
25,-4962.402258626319
26,-4928.640816158332
27,-4978.115427980591
28,-5029.067650712963
29,-5013.197088538596
30,-5001.448316119013
31,-5007.1048807488305
32,-4950.677669167138
33,-4935.651821366165
34,-5022.769517969635
35,-4951.756241984058
36,-5014.13781516345
37,-5025.196742911009
38,-5075.403730314425
39,-4990.72746847296
40,-5083.021272093734
41,-5027.168071564149
42,-5067.2256341373895
43,-4980.2718839512545
44,-4940.677784504024
45,-4914.849633639161
46,-4970.195949654456
47,-4903.415596823959
48,-4950.568572114501
49,-4955.65354592581
50,-4971.176837607307
51,-4943.524755663656
52,-4985.403921282718
53,-4967.450223278698
54,-4967.310229861661
55,-5018.519972253439
56,-4963.964122321647
57,-5037.269880631207
58,-4937.40571407655
59,-4974.539639417071
60,-4988.081047276949
61,-4944.16388578621
62,-4971.926082955624
63,-5004.354080725035
64,-4959.815056778585
65,-4951.801417860126
66,-5028.718024063837
67,-5029.457266860335
68,-4959.416768279993
69,-4976.365489496263
70,-4967.702421348999
71,-4953.411670041187
72,-4998.099616899938
73,-4998.031881857626
74,-5061.987045924735
75,-5038.71780149407
76,-4988.3793766995705
77,-5015.204239265863
78,-5143.039989412996
79,-4998.189942928233
80,-5026.154767914838
81,-5071.363742082902
82,-5019.503434255209
83,-5033.381350670463
84,-4932.463619008149
85,-4956.50394976219
86,-4972.191254981434
87,-4994.708184621896
88,-4964.0385837091235
89,-5037.879088102869
90,-5009.583217609557
91,-4986.6074829320605
92,-4978.752256303936
93,-4943.376514202495
94,-4889.944597402497
95,-4900.629210309299
96,-5028.372192382748
97,-5023.858645025328
98,-4948.099436370701
99,-4968.044667005959
100,-4901.301544662852
